タイムスタンプ,画像,店舗名,メニュー名,ジャンル,麺,スープ,住所,Google Map URL
2025/05/23 23:31:11,https://drive.google.com/open?id=1bZMTpgVrY49z2NW-L02zx0rIC2CMJlvk,中華そば まるき,中華そば　半チャーハン,ラーメン,中太麺,醤油,千葉県松戸市小根本51-2 １Ｆ,https://maps.app.goo.gl/hiEAVJ7ZAiE2QThdA
2025/05/23 23:31:35,https://drive.google.com/open?id=1KcUjd-bBlV-9PsXUSSx8uO4GmNNuGr-l,桂林,五目ラーメン,ラーメン,中太麺,醤油,東京都墨田区太平４丁目２−１,https://maps.app.goo.gl/GapU5CqvQp5LqzUu9
2025/05/23 23:31:57,https://drive.google.com/open?id=1cUhYsjhLYrZjVpyvuQ6z3pnCBC3yWMdI,六厘舎,特製つけめん,つけ麺,太麺,魚介,東京都千代田区丸の内１丁目９−１ 東京駅一番街 B1F 東京ラーメンストリート,https://maps.app.goo.gl/9ydEMPmr4FTWPEW4A
2025/05/23 23:32:17,https://drive.google.com/open?id=1fa2gF6NLyTjkUwYyPkv2W6uT2iOFSOqo,太陽のトマト麺,つけ麺,つけ麺,中太麺,その他,東京都墨田区江東橋１丁目１１−８,https://maps.app.goo.gl/2YRcZ7kpfDHss7hZA
2025/05/23 23:32:43,https://drive.google.com/open?id=1UPDsMsfFYg3jVfiq7LG91QqUt6d21T92,ZUU&HEIN Myanmar Tea House,ココナッツラーメン,ラーメン,中太麺,その他,東京都豊島区東池袋１丁目２３−５ 2F,https://maps.app.goo.gl/AtxLfPizb1bgmwUV7
2025/05/23 23:33:05,https://drive.google.com/open?id=1vZz35XzsePbtH8DRZhUqUkDAlh6XfZcF,つけめん さなだ,大山鶏のつけめん,つけ麺,中太麺,魚介,東京都足立区千住３丁目６−１,https://maps.app.goo.gl/ESrobY2VPT5G7TVy9
2025/05/23 23:33:33,https://drive.google.com/open?id=1iNtnU-vxggTZWQ_98tjc_eDYgO87Dv-d,麺処となみ,辛味噌つけ麺,つけ麺,中太麺,辛い系,千葉県松戸市小根本５１−５,https://maps.app.goo.gl/8aifqZTDxj39bWtn9
2025/05/23 23:33:53,https://drive.google.com/open?id=1JrezbUcZH-MGDzmJ0_Nr7B9904NZXsYp,神座,煮卵ラーメン,ラーメン,中太麺,醤油,東京都渋谷区宇田川町２９−４,https://maps.app.goo.gl/7EyHqoKFZZEkNhGT8
2025/05/23 23:34:37,https://drive.google.com/open?id=1rpztBh0QQZVc-DnYlJZddEHWmTqVqRnc,真鯛らーめん麺魚,鯛油そば,油そば,中太麺,魚介,東京都墨田区江東橋２丁目８−８ パークサイドマンション,https://maps.app.goo.gl/tzizw7szSMBHw8rQA
2025/05/23 23:35:10,https://drive.google.com/open?id=1_2tAAcXZxR1g57zHZOJ9ljD8vCic1NZD,UMA TSUKEMEN,UMA海老つけ麺,つけ麺,中太麺,魚介,東京都立川市西砂町１丁目３−１５,https://maps.app.goo.gl/PFH36LAac5PfFt7s9
