タイムスタンプ,画像,店舗名,メニュー名,ジャンル,麺,スープ,住所,Google Map URL
2025/06/21 19:53:56,https://drive.google.com/open?id=1F9LK8ho18dLzy6veqDBg2EnXgNmPFbqA,東京海老トマト 新宿,オマール海老soba,ラーメン,細麺,魚介,東京都新宿区西新宿７丁目９−７ ニッカビル 1階,https://maps.app.goo.gl/uHVfJ8efuoUKnAcQ6
2025/06/21 19:55:24,https://drive.google.com/open?id=1xOnkK2T2VvX3NjSHfDyjz4rt-yieR8OM,Sagamihara欅,醤油らーめん,ラーメン,細麺,醤油,神奈川県相模原市南区相南４丁目１−３３,https://maps.app.goo.gl/1mkzerBkNaV9AzDb9
2025/06/21 20:04:48,https://drive.google.com/open?id=1O2kvg00DKQLvR9CNR1E2KJxEviKhV321,ラーメン二郎 環七新新代田店,小ラーメン,ラーメン,中太麺,二郎系,東京都世田谷区代田５丁目２９−５ 櫻井ビル,https://maps.app.goo.gl/mbC7Biq1mmhFYqsi7
2025/06/21 20:08:21,https://drive.google.com/open?id=1BQls4-buHJojMFW3_1gA_4nXEFSdxaXd,千里眼,ラーメン,ラーメン,太麺,二郎系,東京都目黒区駒場４丁目６−８,https://maps.app.goo.gl/YNkkNkH1XmjBJrLm8
2025/06/21 20:11:42,https://drive.google.com/open?id=1Pj84uJCvX_ZvY_dqXsb55h4AjE5HsZau,乃木坂まる彦らーめん,雲丹つけ麺,つけ麺,太麺,魚介,東京都港区南青山１丁目１５−１９ グランドメゾン乃木坂 地下1階,https://maps.app.goo.gl/enRJyko31rMLqh8y9
2025/06/21 21:02:15,https://drive.google.com/open?id=1GHFeLR8aOR6YzT1VF0R9otYGcOwN4s60,猪之瀬,昆布水つけ麺,つけ麺,細麺,魚介,東京都渋谷区代々木２丁目２０−１９ 新宿東洋ビル 102,https://maps.app.goo.gl/GzHwcESeMej5VPv28
2025/06/21 21:05:36,https://drive.google.com/open?id=17GtvMAruTuGjUIGSZYV3FZvnxNLX2STp,麺屋藤ろう,濃厚つけ麺,つけ麺,太麺,豚骨,神奈川県厚木市中町２丁目１−８,https://maps.app.goo.gl/sgpgZUGow4MdpaWi7
2025/06/21 21:09:36,https://drive.google.com/open?id=1LFUeB43tDqRVlDFFNJ6nRf8xtpqQkXpJ,らーめん専門店ぶぶか 吉祥寺北口店,油そば,油そば,中太麺,その他,東京都武蔵野市吉祥寺本町１丁目７−１,https://maps.app.goo.gl/8weXjrsTuDLC2URF6
2025/06/21 21:11:35,https://drive.google.com/open?id=1LKzbPHxiqh7yr8pcCA7Q5tJn9DbuHLeO,みずさわ屋,特盛超中華そば,ラーメン,細麺,醤油,宮城県仙台市青葉区栗生５丁目２２−３,https://maps.app.goo.gl/ChNpsGFCSD5avZfNA
2025/06/21 21:13:50,https://drive.google.com/open?id=1ONXXCHVEIxXEwyRyu5ThDmc9LnSTgjB2,しらかわ,中華そば,ラーメン,ちぢれ麺,醤油,岐阜県高山市相生町５６−２,https://maps.app.goo.gl/7Ytr7WQSKZkrBvUY9
2025/06/21 21:14:50,https://drive.google.com/open?id=1cFwVcbO0sssQAY1KHyle5efDtPxlqXSZ,横浜らーめん 武蔵家 日吉店,ラーメン,ラーメン,中太麺,家系,神奈川県横浜市港北区日吉本町１丁目３−１９ サンワキービル 1階,https://maps.app.goo.gl/GjjCfTjkpiV4BbEw6
2025/06/21 21:16:20,https://drive.google.com/open?id=1wtHyKypxXYY8pngnulfSjE_qxohuBK6q,厚木家,ラーメン,ラーメン,中太麺,家系,神奈川県厚木市妻田東２丁目２５−１１,https://maps.app.goo.gl/xzqkt9TimZFKPT3eA
2025/06/21 21:18:23,https://drive.google.com/open?id=13CkU1dQvmi9y_-qp0MyuYbbqF84ubGOz,富山ブラックラーメン 麺家いろは 海老名ビナウォーク店,富山ブラックラーメン,ラーメン,中太麺,醤油,神奈川県海老名市中央１丁目１８−１ ６番館 1F ビナウォーク,https://maps.app.goo.gl/UkkuCENiWHkvtxdd6
2025/06/21 21:20:11,https://drive.google.com/open?id=1WNrYq9xIlggEW1KDGXYGAjf38bATSpXi,ラーメン二郎 新潟店,小ラーメン,ラーメン,中太麺,二郎系,新潟県新潟市中央区万代５丁目２−８,https://maps.app.goo.gl/7XY1xf6Pb7BgABcs9
2025/06/21 21:23:52,https://drive.google.com/open?id=18g9RYIU9Fp-FoBaJjxA5m-hwJ2wNfG4-,浜虎,つけそば,つけ麺,中太麺,鶏白湯,神奈川県横浜市神奈川区鶴屋町２丁目１２−１ ハリオカビル1Ｆ,https://maps.app.goo.gl/NdfEf37MpJtbpPwD8
2025/06/21 21:25:29,https://drive.google.com/open?id=1J-PDLHAoDKg9PhOOt9ao90oN5XqCf5m4,ラーメン二郎 八王子野猿街道店2,小ラーメン,ラーメン,太麺,二郎系,東京都八王子市堀之内２丁目１３−１６,https://maps.app.goo.gl/wJ9NxfNjGZVxbASE8
2025/06/21 21:28:48,https://drive.google.com/open?id=1jkS2nH2ymnJAaONAX2C5D5_34dVK0HaP,博多一双 博多駅東本店,ラーメン,ラーメン,細麺,豚骨,福岡県福岡市博多区博多駅東3-1-6,https://maps.app.goo.gl/cXyNqwhH3rYyZfQS8
2025/06/21 21:35:50,https://drive.google.com/open?id=1jZxXKLQm6bl0Nc4-ZfZNHBFLflDJFNmc,Ramen FeeL,雲呑 醤油 らぁ麺,ラーメン,細麺,醤油,東京都青梅市梅郷４丁目６９５−１,https://maps.app.goo.gl/XdUbFZfSASSB8yHm8
2025/06/21 21:40:05,https://drive.google.com/open?id=1hm1V9pR0XioeAFV_IdwBZlEzJYSbyHG0,ラーメン二郎 相模大野店,小ラーメン,ラーメン,太麺,二郎系,神奈川県相模原市南区相模大野６丁目１４−９,https://maps.app.goo.gl/SRMnb6BocNHqbfhv9
2025/06/21 21:49:37,https://drive.google.com/open?id=1S-Q8XGUJKiLTFDmer3N95ZHlti5-_hff,新宿ラーメン鶏そばかぐら屋,濃厚鶏だし,ラーメン,細麺,鶏白湯,東京都新宿区西新宿７丁目１６−１０ 西新宿ミカエラビル 1階,https://maps.app.goo.gl/dQejez9NqNPUySVS9
2025/06/21 21:51:57,https://drive.google.com/open?id=1DyySPDckVOJxqdvUpTMSZwizTDu_ZfML,つけ麺 五ノ神製作所,海老つけ麺,つけ麺,太麺,魚介,東京都渋谷区千駄ケ谷５丁目３３−１６ シャトレー新宿御苑第一 1F,https://maps.app.goo.gl/TMLRtPZp92kTwTRMA
2025/06/22 11:41:04,https://drive.google.com/open?id=1Dm_hgtG26EkWoSlBxsptaMtZzk0D9uwq,麺匠 一粒万倍 河原町店,醤油らぁ麺,ラーメン,細麺,醤油,京都府京都市中京区大黒町71番地 ワールド会館 1階,https://maps.app.goo.gl/ufD9ZjdeCJbJbZwv5
2025/06/22 11:45:33,https://drive.google.com/open?id=1fKRVBGN9aKQwmza9ekf5COw0INGYqPvl,麺恋処 爆龍,得まぜそば,油そば,中太麺,その他,東京都品川区小山４丁目８−５,https://maps.app.goo.gl/kU5F5ot41indiXdK6
2025/06/22 11:47:53,https://drive.google.com/open?id=1D5Jb6BO4Uu1FZZCgMrLRLQth0hrB1aP1,京都銀閣寺ますたにラーメン 日本橋本店,九条ネギラーメン,ラーメン,細麺,醤油,東京都中央区日本橋２丁目１０−３,https://maps.app.goo.gl/eKT3rGnczdQQbJG28
2025/06/22 11:57:48,https://drive.google.com/open?id=1UPhsoFcoXG7yIE_xtbRJPzDq1kJaEjrS,天天有 台場店,鶏白湯,ラーメン,細麺,鶏白湯,東京都港区台場１丁目６−１ デックス東京ビーチ １階,https://maps.app.goo.gl/49d1NphRDaEwrX6W6
